Player,90s,Goals,Shots,PKs,npxG,npG,Born,Age
Alaixys Romao (1984),54.900000000000006,0.0,28.0,0.0,2.4000000000000004,0.0,1984.0,37.0
Alan Empereur (1994),11.9,0.0,3.0,0.0,0.1,0.0,1994.0,27.0
Alassane Pléa (1993),116.0,47.0,358.0,1.0,40.1,46.0,1993.0,28.0
Albert Lottin (2001),0.7,0.0,0.0,0.0,0.0,0.0,2001.0,20.0
Albert Sambi Lokonga (1999),9.1,0.0,15.0,0.0,0.5,0.0,1999.0,22.0
Alberth Elis (1996),10.3,7.0,19.0,0.0,3.9,7.0,1996.0,25.0
Alberto Aquilani (1984),14.4,0.0,13.0,0.0,0.7,0.0,1984.0,37.0
Alberto Bueno (1988),2.5,0.0,4.0,0.0,0.2,0.0,1988.0,33.0
Alberto Cerri (1996),18.9,3.0,54.0,0.0,6.1,3.0,1996.0,25.0
Alberto Grassi (1995),59.5,4.0,73.0,0.0,6.1,4.0,1995.0,26.0
Alberto López (1995),0.5,0.0,0.0,0.0,0.0,0.0,1995.0,26.0
Alberto Moreno (1992),43.1,3.0,43.0,0.0,4.3,3.0,1992.0,29.0
Alberto Paloschi (1990),41.1,9.0,51.0,0.0,11.4,9.0,1990.0,31.0
Alberto Perea (1990),24.6,2.0,43.0,0.0,2.1,2.0,1990.0,31.0
Alberto Redondo (1997),1.0,0.0,0.0,0.0,0.0,0.0,1997.0,24.0
Alberto Soro (1999),10.2,1.0,7.0,0.0,1.3,1.0,1999.0,22.0
Alberto de la Bella (1985),17.0,0.0,4.0,0.0,0.2,0.0,1985.0,36.0
Albian Ajeti (1997),1.5,0.0,3.0,0.0,0.1,0.0,1997.0,24.0
Albin Ekdal (1989),105.49999999999999,3.0,66.0,0.0,4.2,3.0,1989.0,32.0
Aleandro Rosi (1987),18.9,0.0,14.0,0.0,0.9,0.0,1987.0,34.0
Aleix Febas (1996),20.1,0.0,8.0,0.0,0.6,0.0,1996.0,25.0
Aleix García (1997),32.9,3.0,35.0,0.0,2.3,3.0,1997.0,24.0
Aleix Vidal (1989),54.6,5.0,43.0,0.0,4.9,5.0,1989.0,32.0
Alejandro Arribas (1989),3.0,0.0,2.0,0.0,0.2,0.0,1989.0,32.0
Alejandro Balde (2003),1.1,0.0,0.0,0.0,0.0,0.0,2003.0,18.0
Alejandro Blanco (1998),6.6000000000000005,1.0,7.0,0.0,0.8,1.0,1998.0,23.0
Alejandro Blesa (2002),0.1,0.0,0.0,0.0,0.0,0.0,2002.0,19.0
Alejandro Gutiérrez Mozo (1995),0.5,0.0,0.0,0.0,0.0,0.0,1995.0,26.0
Alejandro López (1997),1.2,0.0,1.0,0.0,0.0,0.0,1997.0,24.0
Alejandro Millán (1999),0.0,0.0,0.0,0.0,0.0,0.0,1999.0,22.0
Alejandro Pozo Pozo (1999),41.300000000000004,1.0,17.0,0.0,0.6,1.0,1999.0,22.0
Alejandro Rodríguez (1991),0.3,0.0,1.0,0.0,0.4,0.0,1991.0,30.0
Aleksa Terzić (1999),2.1,0.0,0.0,0.0,0.0,0.0,1999.0,22.0
Aleksandar Dragović (1991),47.8,3.0,11.0,0.0,1.8000000000000003,3.0,1991.0,30.0
Aleksandar Katai (1991),0.6,0.0,3.0,0.0,0.2,0.0,1991.0,30.0
Aleksandar Kolarov (1985),101.5,17.0,177.0,5.0,8.9,12.0,1985.0,36.0
